Esperimento,attack_success_score__blur@0.5,attack_success_score__blur@1.0,attack_success_score__blur@2.0,attack_success_score__blur@4.0,attack_success_score__clean@None,attack_success_score__crop_center@0.5,attack_success_score__crop_center@0.75,attack_success_score__crop_center@0.9,attack_success_score__crop_random@0.5,attack_success_score__crop_random@0.75,attack_success_score__crop_random@0.9,attack_success_score__jpeg@50,attack_success_score__jpeg@60,attack_success_score__jpeg@85,optimistic_iou__blur@0.5,optimistic_iou__blur@1.0,optimistic_iou__blur@2.0,optimistic_iou__blur@4.0,optimistic_iou__clean@None,optimistic_iou__crop_center@0.5,optimistic_iou__crop_center@0.75,optimistic_iou__crop_center@0.9,optimistic_iou__crop_random@0.5,optimistic_iou__crop_random@0.75,optimistic_iou__crop_random@0.9,optimistic_iou__jpeg@50,optimistic_iou__jpeg@60,optimistic_iou__jpeg@85,pessimistic_iou__blur@0.5,pessimistic_iou__blur@1.0,pessimistic_iou__blur@2.0,pessimistic_iou__blur@4.0,pessimistic_iou__clean@None,pessimistic_iou__crop_center@0.5,pessimistic_iou__crop_center@0.75,pessimistic_iou__crop_center@0.9,pessimistic_iou__crop_random@0.5,pessimistic_iou__crop_random@0.75,pessimistic_iou__crop_random@0.9,pessimistic_iou__jpeg@50,pessimistic_iou__jpeg@60,pessimistic_iou__jpeg@85
./robustness_results/InstructPix2Pix/DiffVax,1.8600,1.5267,2.2333,3.5800,1.7700,2.6967,1.8633,1.7700,2.7233,2.0667,1.6467,1.7600,1.7900,1.5967,0.7909,0.7802,0.7504,0.6083,0.7997,0.2907,0.4293,0.5886,0.2590,0.4029,0.5380,0.7440,0.7423,0.7982,0.6660,0.6164,0.5395,0.3863,0.7041,0.1735,0.3113,0.4528,0.1534,0.2789,0.4077,0.5923,0.6100,0.6932
./robustness_results/InstructPix2Pix/MagicBrush_gray_FT,3.9633,3.5733,3.5833,3.7267,4.5167,5.9633,5.7033,5.7200,6.1167,5.3367,5.9067,4.7800,4.5967,4.1200,0.4935,0.5004,0.5422,0.5254,0.4911,0.3288,0.3810,0.4624,0.2609,0.4028,0.4371,0.5899,0.5802,0.5294,0.2087,0.2838,0.2919,0.2489,0.1886,0.1337,0.1430,0.1924,0.0785,0.1570,0.1679,0.3255,0.3298,0.2615
./robustness_results/InstructPix2Pix/MagicBrush_photoguard,2.2433,2.3233,2.9633,3.1533,2.0367,4.9833,2.5300,3.1900,5.4400,3.0533,2.7800,2.0300,2.2567,2.0367,0.5447,0.6155,0.5931,0.4983,0.4926,0.3398,0.4745,0.5794,0.3037,0.3988,0.5077,0.6662,0.6622,0.6354,0.3416,0.4224,0.2959,0.2246,0.2762,0.1652,0.2985,0.3648,0.1683,0.2214,0.3254,0.5019,0.4946,0.4531
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,4.0200,3.1900,3.6633,3.9300,4.3100,5.6567,4.8800,4.8367,5.7900,5.4567,5.2800,4.5633,4.2567,3.5567,0.5527,0.5777,0.5421,0.5180,0.4993,0.3341,0.4119,0.4833,0.2678,0.3654,0.4717,0.5505,0.6055,0.5813,0.2845,0.3571,0.2858,0.2600,0.2035,0.1184,0.1845,0.2310,0.0974,0.1706,0.2260,0.3145,0.3632,0.3103
./robustness_results/InstructPix2Pix/PhotoGuard,2.4033,1.7000,2.1967,3.2533,5.4200,6.8100,5.7500,5.6967,6.5933,6.1133,5.0367,1.8900,2.0067,2.5867,0.5795,0.7101,0.6850,0.6497,0.4665,0.3093,0.4148,0.5418,0.2623,0.3833,0.5019,0.6758,0.6634,0.6367,0.3259,0.4863,0.4736,0.3796,0.2214,0.0865,0.1931,0.2733,0.0818,0.1714,0.2783,0.5200,0.5240,0.4362
./robustness_results/InstructPix2Pix/VAE_MSE_TARGET_OPT,4.2600,2.1600,2.4200,2.7700,4.8500,6.3900,5.7200,4.7667,5.7833,5.5633,4.4200,3.4200,3.4267,4.6467,0.7590,0.7910,0.6906,0.6500,0.7361,0.2992,0.4200,0.5770,0.2735,0.3901,0.5417,0.7603,0.7555,0.7668,0.6180,0.6065,0.4990,0.4140,0.5864,0.1756,0.2949,0.4284,0.1489,0.2644,0.3804,0.5578,0.5983,0.6425
./robustness_results/SD_Img2Img/DiffVax,1.2967,1.9833,2.8667,4.2633,1.3267,3.3933,2.6500,2.8033,3.3867,2.6633,3.1067,1.5367,1.4100,1.3200,0.7911,0.7059,0.6246,0.6016,0.7804,0.3418,0.4770,0.5574,0.3058,0.3831,0.5164,0.7255,0.7105,0.7604,0.6547,0.5011,0.3745,0.3148,0.6575,0.1585,0.2467,0.3188,0.1360,0.1845,0.2983,0.5293,0.5487,0.6070
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,6.8133,4.3433,3.6933,5.0567,6.8067,6.7800,7.0000,6.3133,6.8000,6.8800,6.7133,5.9833,5.6033,6.2133,0.4188,0.4671,0.5287,0.5010,0.3283,0.3044,0.3821,0.3537,0.2099,0.2978,0.3323,0.4592,0.4824,0.3370,0.1039,0.2188,0.2649,0.2192,0.0885,0.0747,0.0860,0.1056,0.0437,0.0748,0.1071,0.2028,0.1896,0.1284
./robustness_results/SD_Img2Img/MagicBrush_photoguard,6.5533,2.9767,3.1700,3.7733,6.3100,5.6833,6.5167,5.9400,6.8433,5.8933,5.7733,2.7067,2.8367,3.0267,0.3543,0.6406,0.5989,0.5106,0.2717,0.2878,0.3184,0.3877,0.2795,0.2959,0.3346,0.6317,0.6801,0.5554,0.1287,0.3710,0.3075,0.2342,0.0896,0.0844,0.1130,0.1263,0.1030,0.1099,0.1233,0.3383,0.3981,0.2601
./robustness_results/SD_Img2Img/MagicBrush_target_opt,6.5367,4.0600,3.5967,4.9733,6.4300,6.6267,6.9400,6.2700,6.8400,6.8000,6.4833,5.5333,5.0333,5.7200,0.3558,0.5157,0.5653,0.5333,0.3136,0.2502,0.3351,0.3669,0.1490,0.2767,0.3159,0.4606,0.4903,0.3658,0.0811,0.2511,0.2615,0.2123,0.0780,0.0668,0.0931,0.1166,0.0386,0.0701,0.1060,0.1936,0.1960,0.1268
